,game,posteam,yards,stadium
0,2010_01_ARI_STL,ARI,2188,STL00
1,2010_01_ARI_STL,LA,3050,STL00
2,2010_01_ATL_PIT,PIT,1707,PIT00
3,2010_01_ATL_PIT,ATL,2650,PIT00
4,2010_01_BAL_NYJ,NYJ,1491,NYC01
5,2010_01_BAL_NYJ,BAL,2198,NYC01
6,2010_01_CAR_NYG,CAR,2238,NYC01
7,2010_01_CAR_NYG,NYG,1651,NYC01
8,2010_01_CIN_NE,CIN,2681,BOS00
9,2010_01_CIN_NE,NE,1983,BOS00
10,2010_01_CLE_TB,TB,1907,TAM00
11,2010_01_CLE_TB,CLE,1992,TAM00
12,2010_01_DAL_WAS,DAL,2328,WAS00
13,2010_01_DAL_WAS,WAS,1750,WAS00
14,2010_01_DEN_JAX,DEN,1949,JAX00
15,2010_01_DEN_JAX,JAX,1371,JAX00
16,2010_01_DET_CHI,CHI,2213,CHI98
17,2010_01_DET_CHI,DET,1923,CHI98
18,2010_01_GB_PHI,GB,1900,PHI00
19,2010_01_GB_PHI,PHI,2229,PHI00
20,2010_01_IND_HOU,IND,3203,HOU00
21,2010_01_IND_HOU,HOU,1288,HOU00
22,2010_01_MIA_BUF,BUF,2188,BUF00
23,2010_01_MIA_BUF,MIA,2071,BUF00
24,2010_01_MIN_NO,NO,2021,NOR00
25,2010_01_MIN_NO,MIN,1638,NOR00
26,2010_01_OAK_TEN,LV,2530,NAS00
27,2010_01_OAK_TEN,TEN,1345,NAS00
28,2010_01_SD_KC,KC,1448,KAN00
29,2010_01_SD_KC,LAC,2290,KAN00
30,2010_01_SF_SEA,SEA,1478,SEA00
31,2010_01_SF_SEA,SF,2653,SEA00
32,2010_02_ARI_ATL,ATL,1486,ATL00
33,2010_02_ARI_ATL,ARI,2208,ATL00
34,2010_02_BAL_CIN,CIN,2055,CIN00
35,2010_02_BAL_CIN,BAL,2239,CIN00
36,2010_02_BUF_GB,GB,1429,GNB00
37,2010_02_BUF_GB,BUF,1530,GNB00
38,2010_02_CHI_DAL,CHI,1862,DAL00
39,2010_02_CHI_DAL,DAL,2723,DAL00
40,2010_02_HOU_WAS,WAS,2360,WAS00
41,2010_02_HOU_WAS,HOU,3262,WAS00
42,2010_02_JAX_SD,LAC,1552,SDG00
43,2010_02_JAX_SD,JAX,2426,SDG00
44,2010_02_KC_CLE,CLE,2082,CLE00
45,2010_02_KC_CLE,KC,1703,CLE00
46,2010_02_MIA_MIN,MIN,1832,MIN00
47,2010_02_MIA_MIN,MIA,1201,MIN00
48,2010_02_NE_NYJ,NE,2235,NYC01
49,2010_02_NE_NYJ,NYJ,1806,NYC01
50,2010_02_NO_SF,SF,1877,SFO00
51,2010_02_NO_SF,NO,2305,SFO00
52,2010_02_NYG_IND,IND,1481,IND00
53,2010_02_NYG_IND,NYG,1724,IND00
54,2010_02_PHI_DET,DET,2582,DET00
55,2010_02_PHI_DET,PHI,2335,DET00
56,2010_02_PIT_TEN,PIT,1525,NAS00
57,2010_02_PIT_TEN,TEN,2212,NAS00
58,2010_02_SEA_DEN,SEA,1844,DEN00
59,2010_02_SEA_DEN,DEN,1810,DEN00
60,2010_02_STL_OAK,LA,1761,OAK00
61,2010_02_STL_OAK,LV,2137,OAK00
62,2010_02_TB_CAR,TB,1403,CAR00
63,2010_02_TB_CAR,CAR,1955,CAR00
64,2010_03_ATL_NO,ATL,1811,NOR00
65,2010_03_ATL_NO,NO,2130,NOR00
66,2010_03_BUF_NE,BUF,1750,BOS00
67,2010_03_BUF_NE,NE,1773,BOS00
